NUTS2_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV
,F4100,,"0.1355","126.15"
,F4100,,"0.045","431.53"
,F4100,"0.00138",,"3.048"
,F4100,"0.002158333",,"96.518"
,F4100,"0.002986667",,"86.294"
,F4100,"0.009766667",,"147.72"
,F4100,"0.012076667",,"88.31"
,F4100,"0.003943333",,"201.36"
,F4100,"0.013453333",,"64.704"
,F4100,"0.006656667",,"209.64"
,F4100,"5.33333E-05",,"158.78"
,F4100,"0.00084",,"143.332"
,F4100,"0.053883333",,"156.166"
,F4100,"0.083266667",N/A,"81.57"
,F4100,"0.0154",N/A,"188.556"
,F4100,"0.383066667",N/A,"139.13"
,F4100,"0.877933333",N/A,"702.23"
,F4100,"0.96885",N/A,"495.346"
,F4100,"2.336333333",N/A,"762.608"
,F4100,"1.611766667",N/A,"303.634"
,F4100,"0.2159",N/A,"315.176"
,F4100,"2.111066667",N/A,"655.526"
,F4100,"0.012066667",N/A,"93.174"
,F4100,"0.483666667",N/A,"455.556"
,F4100,"1.894033333",N/A,"519.714"
,F4100,"1.562166667",N/A,"487.454"
,F4100,"0.573","2.786","936.598"
,F4100,"0.015","0.053","259.972"
,F4100,"0.154","0.563","201.348"
,F4100,"0.308","0.461","424.964"
,F4100,"0.449","0.373","236.484"
,F4100,"1.067","1.945","2342.764"
,F4100,"0.007","0.028","341.626"
,F4100,"0.725","0.756","5161.37"
,F4100,"1.74","1.675","3999.056"
,F4100,"2.335","1.856","2610.714"
,F4100,"1.139","2.03","1064.22"
,F4100,"1.144","0.654","694.464"
,F4100,"0.011","0.001","217.074"
,F4100,"2.382","3.382","4812.198"
,F4100,"0.232","0.48","408.208"
,F4100,"0.009","0.026","111.274"
,F4100,"0.015",N/A,"57.894"
,F4100,"0.0635",N/A,"1056.448"
,F4100,"0.51",N/A,"193.942"
,F4100,"1.835",N/A,"568.682"
,F4100,"0.034",N/A,"1551.75"
,F4100,"0.048",N/A,"523.596"
,F4100,"0.545",N/A,"1483.86"
,F4100,"0.036",N/A,"136.142"
,F4100,"1.434",N/A,"794.912"
,F4100,"0.093",N/A,"228.508"
,F4100,"1.148",N/A,"1044.96"
,F4100,"0.1615",N/A,"673.39"
,F4100,"0.06",N/A,"329.268"
,F4100,"0.013",N/A,"743.904"
,F4100,"1.5244","1.2106","659.89"
,F4100,"0.0758","0.185","102.124"
,F4100,"1.1994","1.2068","633.268"
,F4100,"0.028","0.0484","78.25"
,F4100,"1.9102","2.9588","2280.198"
,F4100,"0","0","117.152"
,F4100,"0.0144","0.0194","4.914"
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
,F4100,,,
